	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0006565|K03785|aroD; 3-dehydroquinate dehydratase I [EC:4.2.1.10]								
OG0000551|K00449|pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	PA	PA	PA			PA	PA	PA
OG0001294|K01857|pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	PA		PA			PA	PA	PA
OG0001257|K03609|minD; septum site-determining protein MinD			PA					
OG0001419|K00991|ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	PA							
OG0001981|K05589|ftsB; cell division protein FtsB								
OG0000198|K16088|TC.FEV.OM1; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid						PA		
OG0000591|K01689|ENO; enolase [EC:4.2.1.11]								
OG0000875|K01627|kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]			PA					
OG0000610|K00548|metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]			PA					
OG0001789|K07019|uncharacterized protein			PA		PA	PA		
OG0006566||								
OG0001945|K00219|fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]								
OG0000597|K01626|E2.5.1.54; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]			PA					
OG0001764|K03694|clpA; ATP-dependent Clp protease ATP-binding subunit ClpA								
OG0001263|K06891|clpS; ATP-dependent Clp protease adaptor protein ClpS			PA					
OG0005299||								
OG0000712|K00145|argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]			PA					
OG0000825|K07043|uncharacterized protein	PA		PA					
OG0001407|K01807|rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]			PA		PA			
OG0003652|K01753|dsdA; D-serine dehydratase [EC:4.3.1.18]			PA			PA	PA	
OG0003174|K01058|pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]						PA		
OG0000091|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0001577||								
OG0003669||								
OG0004071|K07078|uncharacterized protein			PA			PA	PA	
OG0001083|K07126|uncharacterized protein		PA	PA					
OG0000745||								
OG0000517|K04767|acuB; acetoin utilization protein AcuB						PA		
OG0000162|K00821|argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]								
OG0002018|K07390|grxD; monothiol glutaredoxin								
OG0001993|K03311|TC.LIVCS; branched-chain amino acid:cation transporter, LIVCS family				PA	PA	PA		
OG0000885||								
OG0000726|K01133|betC; choline-sulfatase [EC:3.1.6.6]			PA	PA		PA		
OG0002273||								
OG0001305|K00882|fruK; 1-phosphofructokinase [EC:2.7.1.56]		PA				PA	PA	
OG0000002|K21023|mucR; diguanylate cyclase [EC:2.7.7.65]								
OG0000149|K06149|uspA; universal stress protein A								
OG0006567||								
OG0003075|K20881|yrfG; 5'-nucleotidase [EC:3.1.3.5]								
OG0000918|K07400|nfuA; Fe/S biogenesis protein NfuA								
OG0001451||								
OG0001289|K00677|lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]		PA	PA					
OG0000873|K02372|fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]					PA			
OG0000872|K02536|lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]			PA					
OG0002670|K06142|hlpA; outer membrane protein								
OG0001143|K07277|SAM50; outer membrane protein insertion porin family			PA				PA	
OG0000316|K16092|btuB; vitamin B12 transporter			PA				PA	
OG0001685|K14441|rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]			PA					
OG0000202|K07708|glnL; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]			PA					
OG0000025|K19736|aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness			PA			PA	PA	
OG0000664|K00611|OTC; ornithine carbamoyltransferase [EC:2.1.3.3]			PA					
OG0003169||								
OG0001495|K03610|minC; septum site-determining protein MinC			PA					
OG0000136|K00285|dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]		PA	PA			PA		
OG0000182||								
OG0002606|K07235|tusD; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]								
OG0002605|K11179|tusE; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]								
OG0000079|K05825|LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]		PA		PA		PA		PA
OG0003435||								
OG0001425|K03752|mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]		PA	PA					
OG0000197|K00362|nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]			PA			PA		PA
OG0001482|K15576|nrtA; nitrate/nitrite transport system substrate-binding protein			PA			PA		PA
OG0001145|K01750|E4.3.1.12; ornithine cyclodeaminase [EC:4.3.1.12]	PA	PA	PA			PA		
OG0005300||								
OG0004560||								
OG0003175|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0001773|K03502|umuC; DNA polymerase V			PA					
OG0000415|K02160|accB; acetyl-CoA carboxylase biotin carboxyl carrier protein								
OG0000000|K02003|ABC.CD.A; putative ABC transport system ATP-binding protein			PA			PA		
OG0002125|K05820|hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter			PA	PA				PA
OG0006568||								
OG0004561||								
OG0006570||								
OG0001669|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0003655||								
OG0002899||								
OG0004816||								
OG0001023|K03814|mtgA; monofunctional glycosyltransferase [EC:2.4.1.129]		PA	PA					
OG0004562||								
OG0006572||								
OG0006575||								
OG0003332|K05297|rubB; rubredoxin---NAD+ reductase [EC:1.18.1.1]								
OG0002602|K07347|fimD; outer membrane usher protein						PA		
OG0000531||								
OG0001433|K22083|mgsC; methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]								
OG0002397|K01048|pldB; lysophospholipase [EC:3.1.1.5]		PA	PA			PA		
OG0001401||								
OG0000169|K00043|gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]						PA		
OG0002839|K01114|plc; phospholipase C [EC:3.1.4.3]	PA	PA	PA		PA		PA	PA
OG0003678||								
OG0002149||								
OG0002148|K00059|fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]		PA	PA		PA	PA		
OG0001507|K00626|E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]			PA					
OG0002998||								
OG0000047|K05834|rhtB; homoserine/homoserine lactone efflux protein		PA						
OG0002228|K07000|uncharacterized protein					PA			
OG0000689|K05782|benE; benzoate membrane transport protein	PA	PA	PA			PA		
OG0001327||								
OG0002559|K03824|yhbS; putative acetyltransferase [EC:2.3.1.-]		PA	PA			PA	PA	
OG0004078||								
OG0005301|K03832|tonB; periplasmic protein TonB			PA					
OG0000010|K07636|phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]			PA					
OG0004863||								
OG0001191|K00957|cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]			PA			PA		
OG0003011|K00799|GST; glutathione S-transferase [EC:2.5.1.18]			PA			PA		
OG0002358|K07346|fimC; fimbrial chaperone protein			PA			PA	PA	
OG0001192|K00955|cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]								
OG0002620|K01826|hpaF; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]							PA	
OG0003607||								
OG0004451||								
OG0002047|K03735|eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	PA	PA	PA			PA		PA
OG0002048|K03736|eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]	PA	PA	PA		PA	PA		PA
OG0001649||								
OG0001636|K01886|QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]								
OG0001697|K03666|hfq; host factor-I protein				PA				
OG0001208|K03572|mutL; DNA mismatch repair protein MutL								
OG0002428|K06177|rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]			PA		PA			
OG0006579|K07473|dinJ; DNA-damage-inducible protein J			PA					
OG0001849||								
OG0004564||								
OG0002209|K03576|metR; LysR family transcriptional regulator, regulator for metE and metH					PA			
OG0004565||								
OG0000158|K19577|ydhP; MFS transporter, DHA1 family, inner membrane transport protein		PA	PA	PA		PA		
OG0001044|K10716|kch; voltage-gated potassium channel			PA		PA			
OG0003758|K03319|TC.DASS; divalent anion:Na+ symporter, DASS family		PA						
OG0001769|K01682|acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]					PA			
OG0001761|K09800|tamB; translocation and assembly module TamB			PA			PA		
OG0001760|K07278|tamA; translocation and assembly module TamA			PA					
OG0002159|K06134|COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]			PA			PA		
OG0000883|K07646|kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	PA		PA		PA	PA		
OG0000356|K21029|moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]								
OG0002691||								
OG0003076||								
OG0000343||								
OG0003078|K11931|pgaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]				PA			PA	
OG0003896|K11935|pgaA; biofilm PGA synthesis protein PgaA							PA	
OG0001247|K09773|ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]			PA					
OG0000782|K01007|pps; pyruvate, water dikinase [EC:2.7.9.2]		PA	PA					
OG0001338|K02297|cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]			PA	PA		PA	PA	
OG0001230|K02300|cyoD; cytochrome o ubiquinol oxidase subunit IV			PA			PA	PA	
OG0000930|K02963|RP-S18; small subunit ribosomal protein S18								
OG0004566|K07395|putative proteasome-type protease		PA			PA	PA	PA	PA
OG0001479||								
OG0001478||								
OG0003176|K03402|argR; transcriptional regulator of arginine metabolism	PA							
OG0001168|K03495|gidA; tRNA uridine 5-carboxymethylaminomethyl modification enzyme								
OG0001209|K02687|prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]								
OG0002035|K03190|ureD; urease accessory protein	PA		PA			PA		
OG0002238||								
OG0001844|K03557|fis; Fis family transcriptional regulator, factor for inversion stimulation protein								
OG0001828|K01069|gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]	PA	PA		PA				
OG0002236|K01430|ureA; urease subunit gamma [EC:3.5.1.5]	PA		PA			PA		
OG0000722||								
OG0000697||								
OG0006580||								
OG0002203||								
OG0000072|K03286|TC.OOP; OmpA-OmpF porin, OOP family					PA			
OG0002235|K01429|ureB; urease subunit beta [EC:3.5.1.5]			PA			PA		
OG0000266||								
OG0003105||								
OG0000328|K03119|tauD; taurine dioxygenase [EC:1.14.11.17]		PA	PA			PA	PA	PA
OG0003772|K01779|racD; aspartate racemase [EC:5.1.1.13]		PA	PA			PA	PA	
OG0002234|K01428|ureC; urease subunit alpha [EC:3.5.1.5]	PA		PA			PA		
OG0002779|K09857|uncharacterized protein						PA		
OG0002780|K06192|pqiB; paraquat-inducible protein B						PA	PA	
OG0001815|K03808|pqiA; paraquat-inducible protein A			PA			PA		
OG0003568|K03808|pqiA; paraquat-inducible protein A			PA			PA		
OG0002231|K03187|ureE; urease accessory protein		PA	PA			PA		
OG0003395|K03312|gltS; glutamate:Na+ symporter, ESS family	PA						PA	
OG0000748|K03821|phbC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]		PA	PA					
OG0002840|K00508|E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]							PA	
OG0000367||								
OG0002030|K03188|ureF; urease accessory protein	PA		PA			PA		
OG0000459|K18303|mexK; multidrug efflux pump								PA
OG0000177|K18302|mexJ; membrane fusion protein, multidrug efflux system								PA
OG0000059|K18139|oprM; outer membrane protein, multidrug efflux system			PA					
OG0002029|K03189|ureG; urease accessory protein	PA		PA			PA		
OG0002427|K06923|uncharacterized protein			PA					
OG0001243|K02970|RP-S21; small subunit ribosomal protein S21								
OG0002102|K09117|uncharacterized protein	PA		PA				PA	
OG0000295|K01423|bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]								
OG0000794|K00764|purF; amidophosphoribosyltransferase [EC:2.4.2.14]								
OG0001631|K03558|cvpA; membrane protein required for colicin V production					PA			
OG0001299|K08296|sixA; phosphohistidine phosphatase [EC:3.1.3.-]	PA		PA			PA		PA
OG0001111||								
OG0001788|K03089|rpoH; RNA polymerase sigma-32 factor			PA					
OG0001656||								
OG0000514|K05515|mrdA; penicillin-binding protein 2 [EC:3.4.16.4]	PA		PA					
OG0001280|K03154|thiS; sulfur carrier protein	PA		PA					
OG0001279|K03149|thiG; thiazole synthase [EC:2.8.1.10]	PA							
OG0003654||								
OG0001473|K00784|rnz; ribonuclease Z [EC:3.1.26.11]	PA	PA	PA			PA		
OG0004080|K01270|pepD; dipeptidase D [EC:3.4.13.-]					PA			
OG0002140|K00766|trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]			PA					
OG0002037||								
OG0005264||								
OG0000055|K03574|mutT; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]				PA				
OG0004567||								
OG0005302||								
OG0000075|K02454|gspE; general secretion pathway protein E			PA			PA		
OG0005303||								
OG0000917|K00528|fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	PA		PA					
OG0000518|K06998|phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]			PA				PA	
OG0001032|K00939|adk; adenylate kinase [EC:2.7.4.3]			PA					
OG0000486|K10023|aotM; arginine/ornithine transport system permease protein							PA	
OG0000362|K10016|hisQ; histidine transport system permease protein						PA	PA	
OG0001157|K18298|mexE; membrane fusion protein, multidrug efflux system								
OG0001061|K10773|NTH; endonuclease III [EC:4.2.99.18]	PA							
OG0001581|K09954|uncharacterized protein						PA		
OG0000733|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0001548|K06879|queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]								
OG0002045|K08305|mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]			PA					
OG0000505|K03642|rlpA; rare lipoprotein A					PA	PA		
OG0002214|K03616|rnfB; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.2.1.2]								
OG0001593||								
OG0001033|K02357|tsf; elongation factor Ts								
OG0001321|K07275|ompW; outer membrane protein						PA		
OG0000757|K00262|E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	PA	PA	PA			PA	PA	
OG0001623||								
OG0002423|K00322|sthA; NAD(P) transhydrogenase [EC:1.6.1.1]			PA					
OG0001955|K06445|fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]								
OG0001161|K00297|metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]		PA	PA					
OG0001264||								
OG0000668|K00029|E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]			PA					
OG0001019|K00974|cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]			PA					
OG0001999||								
OG0003945||								
OG0001413|K03179|ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	PA		PA					
OG0002405|K03181|ubiC; chorismate--pyruvate lyase [EC:4.1.3.40]			PA					
OG0001423|K15777|DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]		PA	PA		PA			
OG0001130|K03305|TC.POT; proton-dependent oligopeptide transporter, POT family		PA	PA					
OG0001995|K01262|pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]							PA	
OG0001629||								
OG0002584|K07402|xdhC; xanthine dehydrogenase accessory factor	PA		PA			PA		
OG0002341|K13482|xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]			PA			PA		
OG0002585|K13481|xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]			PA			PA		
OG0001216|K00783|rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	PA							
OG0003053||								
OG0003052||								
OG0000925|K01599|hemE; uroporphyrinogen decarboxylase [EC:4.1.1.37]			PA					
OG0000376|K16291|erfK; L,D-transpeptidase ErfK/SrfK								
OG0000536|K06911|uncharacterized protein			PA		PA			
OG0003069|K21829|dauR; D-arginine utilization repressor								
OG0002846||								
OG0006581||								
OG0006582||								
OG0000011|K06075|slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin			PA					
OG0004569||								
OG0001212|K06200|cstA; carbon starvation protein					PA			
OG0002283|K01843|kamA; lysine 2,3-aminomutase [EC:5.4.3.2]		PA	PA					
OG0004391||								
OG0001637|K14347|SLC10A7; solute carrier family 10 (sodium/bile acid cotransporter), member 7		PA	PA			PA		
OG0001397|K01759|GLO1; lactoylglutathione lyase [EC:4.4.1.5]			PA		PA		PA	
OG0001455|K08218|ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG								
OG0002738|K04770|lonH; Lon-like ATP-dependent protease [EC:3.4.21.-]								
OG0001290|K03787|surE; 5'-nucleotidase [EC:3.1.3.5]		PA	PA					
OG0000513|K07258|dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]			PA					
OG0001149|K12152|nudJ; phosphatase NudJ [EC:3.6.1.-]								
OG0002138|K07153|hflD; high frequency lysogenization protein								
OG0003040|K09888|zapA; cell division protein ZapA								
OG0004061|K08984|yjdF; putative membrane protein			PA	PA		PA		
OG0002318|K20276|bapA; large repetitive protein								
OG0002611|K04774|sohB; serine protease SohB [EC:3.4.21.-]			PA					
OG0000646|K02036|pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]			PA					
OG0000647|K02038|pstA; phosphate transport system permease protein			PA					
OG0006583|K02040|pstS; phosphate transport system substrate-binding protein					PA			
OG0006584|K04103|ipdC; indolepyruvate decarboxylase [EC:4.1.1.74]		PA		PA	PA			
OG0002401|K09892|zapB; cell division protein ZapB								
OG0002847|K13745|ddc; L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]			PA					
OG0002348|K00836|ectB; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	PA	PA	PA			PA	PA	
OG0002692||								
OG0002170|K09895|uncharacterized protein								
OG0002233||								
OG0002674|K03580|hepA; ATP-dependent helicase HepA [EC:3.6.4.-]								
OG0001361|K06177|rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]			PA		PA			
OG0000615|K00788|thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]			PA			PA		
OG0002052||								
OG0002398|K18446|ygiF; triphosphatase [EC:3.6.1.25]								
OG0004796||								
OG0002396|K06956|uncharacterized protein			PA				PA	
OG0000693||								
OG0003020||								
OG0002139|K00031|IDH1; isocitrate dehydrogenase [EC:1.1.1.42]								
OG0001503|K00031|IDH1; isocitrate dehydrogenase [EC:1.1.1.42]								
OG0002327||								
OG0000426|K03185|ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]								
OG0000554|K03775|slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]					PA	PA		
OG0004509||								
OG0001065|K01791|wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]						PA	PA	PA
OG0002501||								
OG0002746||								
OG0002422|K00134|GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]								
OG0002960||								
OG0001070|K03098|APOD; apolipoprotein D and lipocalin family protein		PA			PA	PA		
OG0005304||								
OG0000350||								
OG0000323|K05886|sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]								
OG0001771|K06169|miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]			PA					
OG0001432|K03474|pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2]								
OG0004546||								
OG0002597|K07107|ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]			PA					
OG0000503|K02048|cysP; sulfate transport system substrate-binding protein			PA			PA		PA
OG0000272|K02018|modB; molybdate transport system permease protein			PA					
OG0001594|K02047|cysW; sulfate transport system permease protein			PA			PA		PA
OG0001670|K13634|cysB; LysR family transcriptional regulator, cys regulon transcriptional activator								PA
OG0002103|K00674|dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]								
OG0001219|K10026|queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]			PA					
OG0001450|K06920|queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	PA	PA	PA					
OG0004081||								
